X_Flat,Y_Flat,Z_Zero,Intensity
-10.0,-10.0,0.0,-0.03266276512102376
-9.591836734693878,-10.0,0.0,0.06367153015374853
-9.183673469387756,-10.0,0.0,0.1339406790780479
-8.775510204081632,-10.0,0.0,0.1769559850899131
-8.36734693877551,-10.0,0.0,0.19318535846390494
-7.959183673469388,-10.0,0.0,0.18442704470080595
-7.551020408163265,-10.0,0.0,0.15479180010987753
-7.142857142857142,-10.0,0.0,0.11190193848059518
-6.73469387755102,-10.0,0.0,0.06719646389905497
-6.326530612244898,-10.0,0.0,0.034772245606529695
-5.918367346938775,-10.0,0.0,0.028935235038071078
-5.5102040816326525,-10.0,0.0,0.06121446734052191
-5.1020408163265305,-10.0,0.0,0.13778755226081946
-4.6938775510204085,-10.0,0.0,0.25806942753037154
-4.285714285714286,-10.0,0.0,0.414776046056677
-3.8775510204081627,-10.0,0.0,0.5952991910089338
-3.4693877551020407,-10.0,0.0,0.7838875607665415
-3.0612244897959187,-10.0,0.0,0.9640032994472854
-2.6530612244897958,-10.0,0.0,1.1203039246115627
-2.244897959183673,-10.0,0.0,1.2399222137112957
-1.8367346938775508,-10.0,0.0,1.312997512725009
-1.4285714285714288,-10.0,0.0,1.332673482280891
-1.020408163265305,-10.0,0.0,1.2949549788688683
-0.612244897959183,-10.0,0.0,1.198857932381317
-0.204081632653061,-10.0,0.0,1.0471537875859955
0.204081632653061,-10.0,0.0,0.847700674077422
0.612244897959183,-10.0,0.0,0.614924077483606
1.0204081632653068,-10.0,0.0,0.3705975734740702
1.4285714285714288,-10.0,0.0,0.14288193241166708
1.8367346938775508,-10.0,0.0,-0.03718859997298235
2.2448979591836746,-10.0,0.0,-0.1418362602497241
2.6530612244897966,-10.0,0.0,-0.15420592298443936
3.0612244897959187,-10.0,0.0,-0.07532693197085544
3.4693877551020407,-10.0,0.0,0.07249536489195432
3.8775510204081627,-10.0,0.0,0.2483049896260023
4.2857142857142865,-10.0,0.0,0.40193232756589115
4.6938775510204085,-10.0,0.0,0.4884996586337511
5.1020408163265305,-10.0,0.0,0.48371461545723843
5.510204081632654,-10.0,0.0,0.39428708316473915
5.918367346938776,-10.0,0.0,0.258506329234243
6.326530612244898,-10.0,0.0,0.13499960823027854
6.73469387755102,-10.0,0.0,0.08214915283706492
7.142857142857142,-10.0,0.0,0.1349050146239296
7.551020408163264,-10.0,0.0,0.28788232678336906
7.95918367346939,-10.0,0.0,0.49235988509108936
8.367346938775512,-10.0,0.0,0.6701099732823149
8.775510204081634,-10.0,0.0,0.7404309824014859
9.183673469387756,-10.0,0.0,0.6509278422374914
9.591836734693878,-10.0,0.0,0.4001072498528613
10.0,-10.0,0.0,0.04216110676408921
-10.0,-9.591836734693878,0.0,0.06367153015374853
-9.591836734693878,-9.591836734693878,0.0,0.1325688262692852
-9.183673469387756,-9.591836734693878,0.0,0.18346825746193549
-8.775510204081632,-9.591836734693878,0.0,0.21970666485845536
-8.36734693877551,-9.591836734693878,0.0,0.24201307038649084
-7.959183673469388,-9.591836734693878,0.0,0.24966001423468417
-7.551020408163265,-9.591836734693878,0.0,0.2432262343129051
-7.142857142857142,-9.591836734693878,0.0,0.2270723186152192
-6.73469387755102,-9.591836734693878,0.0,0.21007233374236348
-6.326530612244898,-9.591836734693878,0.0,0.2041723535973067
-5.918367346938775,-9.591836734693878,0.0,0.22138843927709048
-5.5102040816326525,-9.591836734693878,0.0,0.27046091893653645
-5.1020408163265305,-9.591836734693878,0.0,0.35438716410287185
-4.6938775510204085,-9.591836734693878,0.0,0.46958680486484716
-4.285714285714286,-9.591836734693878,0.0,0.6067961222608875
-3.8775510204081627,-9.591836734693878,0.0,0.753225087656986
-3.4693877551020407,-9.591836734693878,0.0,0.8952100145226614
-3.0612244897959187,-9.591836734693878,0.0,1.020583701284576
-2.6530612244897958,-9.591836734693878,0.0,1.1201888138009588
-2.244897959183673,-9.591836734693878,0.0,1.1882709118414527
-1.8367346938775508,-9.591836734693878,0.0,1.2218155235432484
-1.4285714285714288,-9.591836734693878,0.0,1.2191851963994387
-1.020408163265305,-9.591836734693878,0.0,1.178634243721867
-0.612244897959183,-9.591836734693878,0.0,1.0973912443743141
-0.204081632653061,-9.591836734693878,0.0,0.9719419810824056
0.204081632653061,-9.591836734693878,0.0,0.7998548788926945
