X_Lorenz,Y_Lorenz,Z_Lorenz
0.1,0.0,0.0
0.09000000000000001,0.028000000000000004,0.0
0.08380000000000001,0.05292000000000001,2.5200000000000006e-05
0.080712,0.07585477888240001,6.887496000000003e-05
0.08022627788824001,0.0976955355032183,0.00012826220353156272
0.08197320364973784,0.1191818350569015,0.00020321936990127048
0.0856940667904542,0.14094234714283113,0.0002954973550685918
0.0912188948256919,0.16352700914902918,0.00040839665469670754
0.09844970625802563,0.1874326570738177,0.0005466736077253812
0.10734800133960484,0.2131237100567657,0.0007166225451734904
0.11792557221132093,0.241049144051308,0.0009262966537622831
0.13023792939531964,0.2716567204893355,0.0011858539920949517
0.14437980850472124,0.3054052290834467,0.0015080313068009611
0.16048235056259377,0.3427753458812212,0.0019087606235336876
0.17871165009445653,0.38427958735602,0.002407954272458701
0.19926844382061287,0.43047175021409384,0.0030304945500665807
0.22238877445996097,0.4819561581623945,0.003807475719803786
0.2483455128302043,0.5393969860309685,0.0047777594275140115
0.27745066015028075,0.603527894411964,0.005989920720596245
0.31005838357644905,0.6751621812353412,0.007504681628617429
0.34656876334233827,0.7552036379298432,0.009397953730845425
0.3874322508010888,0.844658284914375,0.011764641540046021
0.4331548542124174,0.9446471522740189,0.01472339637046643
0.48430408401857755,1.0564202648246719,0.01842255746250827
0.541515702099187,1.1813719845034554,0.023047575750453807
0.6055013303396138,1.3210578550045513,0.02883028852672869
0.6770569828061076,1.4772130811690276,0.03606050371929112
0.7570725926423996,1.651772755384581,0.04510046460375684
0.8465426089166177,1.8468939105139375,0.056402904371407506
0.9465777390763497,2.064979427287281,0.07053357081549014
1.0584179078974427,2.3087037448758707,0.08819931116895144
1.1834464915952856,2.5810402043343417,0.1102830634138445
1.3232058628691912,2.8852896788928835,0.1378874114676672
1.4794142444715603,3.2251098893946297,0.1723887360203997
1.6539838089638672,3.60454443543617,0.21550443816342085
1.8490398716110974,4.028050049076869,0.2693762344947519
2.0669408893576744,4.500519838656755,0.3366731196974402
2.3102987842875824,5.027299254915834,0.4207182546176923
2.5819988313504076,5.61419007324549,0.5256447347300397
2.885217955539916,6.267435704383365,0.6565858638848945
3.223439730424261,6.993678441652364,0.8199060878094191
3.6004636015470712,7.799875603168017,1.0234789349741733
4.020404801709166,8.693156669046271,1.2770178454328764
4.487679988442876,9.680597160057909,1.59246412436377
5.006971705604379,10.76887689138913,1.9844326358944242
5.583162224182854,11.963780219448452,2.4707090512337953
6.221224023709414,13.269484145607215,3.072780734330734
6.926050035899195,14.687567457549681,3.816364250237409
7.702201778064244,16.215662495502347,4.731862808064083
8.553547849808055,17.84566474706704,5.854642844902519
9.482759539533953,19.561421820368526,7.224956508961825
10.490625767617411,21.33585502065359,8.887253595795649
11.57514869292103,23.127543169625884,10.88852487111261
12.730388140591515,24.87694642765054,13.275211718786638
